id;name;description;ext_project_id;active;src_url;content_store_url;landscape_id;team_id
1;contextually-based Alaska Fresh;Table Micronesia;Center;true;Kansas Garden;Engineer;70ebd703-9;08a62f88-9845-4f9e-8242-47328a
2;USB e-services;European Junctions digital;Account;false;digital SMTP;Alley Practical;42943c7f-6;50886048-bf28-45a2-8128-687dfa
3;solution;Supervisor index Diverse;Brand copying;true;Handcrafted feed;Research Optional;3157ac3e-c;f7afa351-c2e2-4c01-a5f3-103182
4;multi-byte iterate;Radial;magenta;true;firewall ADP International;Up-sized Jewelery application;ad9284b1-7;acebee67-fa4e-439d-94f5-907dd9
5;calculate back-end;program;input;true;Small;invoice digital parsing;5cc8626e-b;a188d910-a2b9-4194-80f5-806ffd
6;Berkshire Vision-oriented empowering;Small Pakistan Directives;bluetooth Borders;false;Analyst Computer digital;Architect Metal matrix;97fc2462-8;7dfce140-9a17-4fb8-bdb9-7129ae
7;Ball Cross-group compelling;Cote;supply-chains;false;online teal;hub International;6a345d9a-2;1499457a-787d-4dff-a470-47fad9
8;open-source Architect;Dollar;salmon Bedfordshire;true;exuding;Oval Technician;bcd12b1e-d;05432e0e-53de-4951-9a2e-fb4901
9;channels definition blue;convergence firewall Refined;Haiti Handmade;true;leading-edge;eyeballs hardware;cdd644c1-c;3441358d-d5ee-4da8-b364-42b23e
10;Digitized Home;Frozen GB invoice;CSS Computer;false;Account programming B2C;morph object-oriented;c27a8a42-5;321037ec-c7a1-41d9-a84b-24eecd
